GEO.id,GEOID,GEO.display-label,LaborForceParticipationRate,LaborForceParticipationRate-MOE,EmploymentRate,EmploymentRate-MOE,UnemploymentRate,UnemploymentRate-MOE,FemaleLaborForceParticipation,FemaleLaborForceParticipation-MOE,FemaleCivilianEmployment,FemaleCivilianEmployment-MOE,CommutingToWork-DrivingAlone,CommutingToWork-DrivingAlone-MOE,CommutingToWork-Carpool,CommutingToWork-Carpool-MOE,CommutingToWork-PublicTransit,CommutingToWork-PublicTransit,CommutingToWork-Walked,CommutingToWork-Walked-MOE,CommutingToWork-Other,CommutingToWork-Other-MOE,CommutingToWork-Home,CommutingToWork-Home-MOE,PrivateWageSalary,PrivateWageSalary-MOE,"Income<10,000","Income<10,000-MOE",Income10k-15k,Income10k-15k-MOE,Income15k-25k,Income15k-25k-MOE,Income25k-35k,Income25k-35k-MOE,Income35k-50k,Income35k-50k-MOE,Income50k-75k,Income50k-75k-MOE,Income75k-100k,Income75k-100k-MOE,Income100k-150k,Income100k-150k-MOE,Income150k-200k,Income150k-200k-MOE,Income200K+,Income200K+-MOE,MedianHouseholdIncome,MedianHouseholdIncome-MOE,MeanHouseholdIncome,MeanHouseholdIncome-MOE,HouseholdsWithEarnings,HouseholdsWithEarnings-MOE,HouseholdsMeanEarnings,HouseholdsMeanEarnings-MOE,HouseholdsWSS,HouseholdsWSS-MOE,HouseholdsMeanSSIncome,HouseholdsMeanSSIncome-MOE,HouseholdsWPublicAssistanceIncome,HouseholdsWPublicAssistanceIncome-MOE,HouseholdsMeanPublicAssistanceIncome,HouseholdsMeanPublicAssistanceIncome-MOE,HouseholdsWFoodStampSNAPBenefits,HouseholdsWFoodStampSNAPBenefits-MOE,FamiliesIncome<10k,FamiliesIncome<10k-MOE,FamiliesIncome10k-15k,FamiliesIncome10k-15k-MOE,FamiliesIncome15k-25k,FamiliesIncome15k-25k-MOE,FamiliesIncome25k-35k,FamiliesIncome25k-35k-MOE,FamiliesIncome35k-50k,FamiliesIncome35k-50k-MOE,FamiliesIncome50k-75k,FamiliesIncome50k-75k-MOE,FamiliesIncome75k-100k,FamiliesIncome75k-100k-MOE,FamiliesIncome100k-150k,FamiliesIncome100k-150k-MOE,FamiliesIncome150k-200k,FamiliesIncome150k-200k-MOE,FamiliesIncome200k+,FamiliesIncome200k+-MOE,FamiliesMedianIncome,FamiliesMedianIncome-MOE,FamiliesMeanIncome,FamiliesMeanIncome-MOE,FamiliesPerCaptiaIncome,FamiliesPerCaptiaIncome-MOE,NonFamilyHouseholdsMedianIncome,NonFamilyHouseholdsMedianIncome-MOE,NonFamilyHouseholdsMeanIncome,NonFamilyHouseholdsMeanIncome-MOE,MedianWorkerEarnings,MedianWorkerEarnings-MOE,HealthInsuranceCoverage,HealthInsuranceCoverage-MOE,HealthInsuranceCoverage-Private,HealthInsuranceCoverage-Private-MOE,HealthInsuranceCoverage-Public,HealthInsuranceCoverage-Public-MOE,FamiliesBelowPovertyLevel,FamiliesBelowPovertyLevel-MOE,MarriedCouplesBelowPovertyLevel,MarriedCouplesBelowPovertyLevel-MOE,PeopleIncomeBelowPovertyLevel,PeopleIncomeBelowPovertyLevel-MOE,ChildrenUnderPovertyLevel,ChildrenUnderPovertyLevel-MOE
1400000US17001000100,17001000100,"Census Tract 1, Adams County, Illinois",59,4.3,56.5,4.6,2.5,2.1,53.4,6.8,50.6,6.6,81.9,7.6,12.3,6.7,0,1.3,0.6,1,0,1.3,5.1,3.1,83.2,6.9,4.1,2.8,3.8,2.7,9,4.2,14.8,5,19.6,6.7,21.9,6.3,15.5,5,5.9,3.4,3.3,2.8,2.1,1.8,48726,5656,61411,7710,67.2,4.8,65494,10959,45,5.1,19902,2057,1.5,1.9,,,9.5,5.3,2,2.3,0,2.3,1.8,2.4,12.4,7.9,19.4,8.6,29.3,9.3,19.7,7.5,9.7,5.8,4.6,4.4,1,1.7,60389,5896,69984,7745,29412,3804,34583,6005,50463,14211,34480,5322,99.1,0.9,76.2,6.4,43.3,7.1,2,2.3,2.5,2.8,5,2.4,1.1,1.7
1400000US17001000201,17001000201,"Census Tract 2.01, Adams County, Illinois",55.1,4.8,52.4,4.9,2.7,1.8,52.8,6.1,50.5,6.2,79.5,7.4,10.1,5.7,4,4.3,0.5,1.1,0.6,1.3,5.3,2.7,86,4.9,2.9,2.2,8.4,4.4,16.3,5.2,13.8,5.3,17.5,5.3,20,5.2,10.4,4.3,8.6,4.1,2,1.7,0,3.2,41531,3541,51530,4843,70.2,4.9,48459,5906,36.5,4.8,17603,1725,3.5,2.6,679,171,12.8,6,6.1,4.9,9.5,6,2.2,2.9,12.5,6.4,14.9,7.7,27,7.7,11.6,5.7,13.2,6.3,3.1,2.7,0,4.9,54250,7156,60193,7495,22825,2088,24122,1910,32086,4591,26972,4348,87.9,5.2,63.7,7.6,41.2,6.4,15.6,7.6,8.4,7.7,15.6,5.9,21.7,10.8
1400000US17001000202,17001000202,"Census Tract 2.02, Adams County, Illinois",76.4,3.7,72.6,4.2,3.8,3.1,75.6,6.6,73.9,6.9,79.4,8.2,9.8,6.1,0,2,5.5,3.5,2,1.9,3.2,1.9,88.3,4.4,7.1,6.3,6.8,5,9.8,6.7,16,6,16.4,6.9,18,6.2,17.4,7.4,6.5,3.8,0.8,1.3,1.1,1.7,42750,7229,56570,12016,84.7,6.4,56306,13725,26.4,6.3,17174,3139,8.9,6.7,2066,927,17.1,7.7,5.5,5.9,9,7.2,1.6,2.4,14.2,7.4,10.9,5.8,22.1,9.4,24.3,10,9.6,5.7,1.2,1.9,1.6,2.6,58214,8721,67396,18114,22753,3746,30833,10930,29276,6409,28386,4596,93.7,3.1,72,6.5,31.4,7.5,16.1,10,4,4.4,19,7.5,22.1,14.8
1400000US17001000400,17001000400,"Census Tract 4, Adams County, Illinois",53.1,5.6,48.3,5.9,4.8,2.1,51,7.6,46.5,7.9,73.2,8.7,14.9,9.2,0,2.1,3.9,3.5,4.4,4.8,3.6,2.7,88.4,5.2,12.7,5,13.5,5.5,18.8,6.9,10.8,4.4,15.9,6.5,9.6,4.5,11.3,4.9,5.6,2.8,1,1.1,0.8,1.1,29000,7114,43558,5635,65.1,7.1,51761,8159,35.1,7.4,13023,1446,6.5,3.1,3826,2360,40.7,8.2,3.5,3.4,6.2,6.3,25.6,10.1,12.1,7.3,9.7,6.2,16.9,7.6,15.9,7.9,7.9,4.6,0.9,1.2,1.4,2.2,43438,25476,54366,9615,19258,2358,16221,5458,29092,6794,25893,5406,89.5,5,43.8,6.7,56,7,21.5,8.3,15.1,9,30.4,7.5,46.5,17.3
1400000US17001000500,17001000500,"Census Tract 5, Adams County, Illinois",53,7.2,48,6.4,4.9,2.7,44.4,8.7,43,8.9,82,6.3,3.2,2.1,1.2,1.3,10.6,5.5,0,3.2,3,3.5,82.5,5.1,10.5,5.3,9.9,6,19.9,6.9,9.5,3.9,27.6,7.2,15,4.8,5.8,2.7,1.4,1.5,0.5,1.3,0,3.2,35136,6512,36388,3056,69.2,7.9,39755,4237,39.7,7.7,14469,1697,3.4,3.6,390,148,29.1,6.8,8.8,6.8,5.3,6,11.8,7.8,7.8,5.5,30.6,8.7,23.7,8.4,10.4,5.3,1.6,2.2,0,6.1,0,6.1,44096,2736,44208,4942,14855,1479,17821,3724,24861,3834,22910,2830,91,3.7,45,7.6,54.9,5.5,20.3,9.5,10.3,11.2,26,9.8,40.2,18.1
1400000US17001000600,17001000600,"Census Tract 6, Adams County, Illinois",73.8,3.6,70.2,4.9,3.6,2.7,70.7,5.4,68.2,6.3,85.6,5,4.3,2.5,0.8,1.2,2.8,2.5,1.4,1.2,5.1,3.4,82,4.6,2.3,1.8,5,3.4,14.6,6.7,12.7,5.7,18.1,6.4,15.8,5.4,11.4,4,10.2,3,5.9,3.7,4,2.1,44852,6718,72429,10973,81.7,4.8,69794,13150,25.6,4.3,18568,1944,1.1,1.2,,,8.9,4.5,1.2,1.8,2.8,3.5,9.9,6.9,7.7,4.1,13.3,6.8,19.9,7.6,17.1,6.1,16.9,5.4,6,3.4,5.3,3.1,70917,9237,85158,11179,32480,5036,31657,8950,55241,20462,28811,2988,94.8,2.7,70,8,36.3,6.1,9.3,6,2.9,2.7,13.7,6.1,28.2,16.4
1400000US17001000700,17001000700,"Census Tract 7, Adams County, Illinois",47.8,7.1,45.7,6.8,2,1.7,49.7,10.4,49.7,10.4,70.6,11.3,4.4,5.5,2.3,2.3,11.3,7.7,6.3,5.9,5,4.8,91,6.7,22.5,7.6,19.8,7.1,22.6,7.2,9.6,4.5,9.9,4.8,11.6,6.3,2.1,2.3,1.5,1.8,0.3,0.9,0,3.4,17832,2324,25822,3765,51.3,7.4,32431,6634,33.6,6.9,12151,1129,4.4,3.2,5357,4341,36.7,8.4,23.7,15.8,16.3,18.9,12.6,15,8.9,10.3,15.6,10.8,21.5,15.8,0,18.3,0,18.3,1.5,4.8,0,18.3,24485,12924,30725,8180,17476,2504,16850,2723,24123,4077,19879,3658,93.6,4.3,48.2,7.7,60.5,7.7,45.2,17.2,41.3,22.2,40.7,9.3,71,29.9
1400000US17001000800,17001000800,"Census Tract 8, Adams County, Illinois",62.7,6.9,55.6,8.5,7.1,4.2,56.3,9.9,48.7,10.6,65.5,11.6,9.6,6.3,5.4,4.5,12.8,7.8,0.8,1.4,6,4.3,88.9,5.6,21.5,9,13,7.7,15.6,7.6,26.7,9.7,9.9,4.7,6.1,4,4.1,4,2.3,1.7,0,2.3,0.8,1.4,24972,6291,34112,9780,69.7,8.3,40245,13133,22.1,4.6,12849,1688,5.6,5,1992,1473,40.8,10.8,22.3,12,1,2,15.7,10.8,22.5,12.6,14.8,8.8,11,7.2,6.1,7.1,4.7,3.5,0,4.7,1.7,2.9,31655,4779,46621,19431,16565,3303,18275,6247,22163,4060,22972,5687,88.2,4.8,36.4,8.8,63.4,8.3,38.7,13.5,15,15.9,40.3,9.9,51.4,16.9
1400000US17001000900,17001000900,"Census Tract 9, Adams County, Illinois",69.2,5.7,60.8,6.2,8.4,4.4,65.6,9.4,58.7,9.3,74.5,7.1,14.9,8,0,2.1,4.6,4.3,2.2,2.3,3.7,3.1,87.4,5.7,9,6.4,5.6,3.7,14.1,7.2,12.7,5.3,19.6,6.3,29.1,5.7,3.2,2,4.8,3.2,0,2.4,2,2.3,42848,6150,46868,5461,80.6,5.2,42716,6074,30,6.2,18794,3093,6.5,4.6,2637,1844,15.1,5.9,11.6,8.7,2.9,3.3,9,6.8,9.9,6.9,21.2,8.6,30.1,9.3,5.2,3.3,6.8,4.9,0,3.9,3.2,3.8,47576,5729,52912,9076,19410,2713,26780,7779,31752,5562,22786,4097,87,7.8,65.4,8.7,37.5,7.3,20.5,10.5,1.8,2.7,23.4,8.3,41,16.8
1400000US17001001001,17001001001,"Census Tract 10.01, Adams County, Illinois",74,4.2,68.9,5.7,5.2,4.1,68.2,6.2,64.2,6.7,84.4,4.8,9.9,3.8,0,1.6,0,1.6,2.3,2.1,3.4,2.4,86.4,4.4,6.1,4.5,3.5,2.4,6.9,3.6,15.3,4.4,14.5,4.8,28.3,6.2,14.9,5.6,7.6,3.4,3,2.5,0,1.8,52282,3279,56750,4239,78.7,5.2,59977,5048,22.5,4,18634,1934,2.1,2.4,,,13.8,6,6.5,5.6,0.7,1.1,2.8,2.8,10.2,5.6,11.3,5.2,30.6,9.1,21.5,9.2,11.4,5.1,4.9,4.2,0,2.9,64375,7526,68172,7338,25292,2377,35313,7743,38322,5334,36880,3191,93.5,4.4,74.5,6.7,34.4,7.3,7.2,5.8,2.3,3.1,11.3,5.7,16.3,15.4
