Iteration,AIC,R^2,Moran's I,Age Coefficient,Age Z-Stat,Age Probability,Bedrooms Coefficient,Bedrooms Z-Stat,Bedrooms Probability,Building Square Feet Coefficient,Building Square Feet Z-Stat,Building Square Feet Probability,Estimate (Building) Coefficient,Estimate (Building) Z-Stat,Estimate (Building) Probability,Estimate (Land) Coefficient,Estimate (Land) Z-Stat,Estimate (Land) Probability,Fireplaces Coefficient,Fireplaces Z-Stat,Fireplaces Probability,Full Baths Coefficient,Full Baths Z-Stat,Full Baths Probability,Garage 1 Area Coefficient,Garage 1 Area Z-Stat,Garage 1 Area Probability,Garage 2 Area Coefficient,Garage 2 Area Z-Stat,Garage 2 Area Probability,Half Baths Coefficient,Half Baths Z-Stat,Half Baths Probability,Land Square Feet Coefficient,Land Square Feet Z-Stat,Land Square Feet Probability,Rooms Coefficient,Rooms Z-Stat,Rooms Probability,Sale Quarter Coefficient,Sale Quarter Z-Stat,Sale Quarter Probability
0,22547.15724943413,0.41035743485121007,-0.0034491304109312278,-1.718360729425644,-17.11127578928109,1.222913108432807e-65,-0.14310831987738715,-25.27724010138839,5.684878641702664e-141,0.024533683619478608,3.1281521285750555,0.0017590910706491087,0.1699014666582782,18.33954429616059,4.0013711824283554e-75,0.08876068776248369,11.42461556763011,3.150466850321725e-30,0.062005722473820954,6.118879519258261,9.423561696936768e-10,0.030087114958319117,6.159468573383708,7.2989462976096e-10,0.0223044118238179,3.281698466101898,0.0010318388196916138,0.030802726564101324,7.6599188254447546,1.86050641070708e-14,-0.001935981233884737,-0.5121308695999004,0.6085594211736793,0.01978220870185688,4.55603408227477,5.2128481762433455e-06,0.10129122423186505,11.038098658302086,2.5027294192515375e-28,-0.009364909186773351,-1.0527533824329456,0.2924540355910846
1,22742.16670865116,0.4243377524238998,-0.001833697112959789,-1.5504541014868365,-15.917909257266912,4.760192466238402e-57,-0.13153095336365606,-22.354865384465977,1.0827786730097693e-110,0.011772487924569142,1.4774165780811117,0.13956400498041321,0.1816930869247967,19.237004510708456,1.8139286666664393e-82,0.11359772749551916,13.833806224880426,1.593600925693199e-43,0.047985770115637746,4.674884835544397,2.941186206010796e-06,0.027637631196956225,5.628992021079417,1.812657821416533e-08,0.01758354461275169,2.5884518980296836,0.009640841092367907,0.030791231517532585,7.629505004930822,2.356567834708504e-14,-0.007278579038875528,-1.9532526285925527,0.05078966768962123,0.0227483553962744,5.146363534561543,2.6558450685420235e-07,0.10075755691376516,10.701133902341052,1.0054028714106668e-26,-0.006831157021783496,-0.7518410160203074,0.45214667284626986
2,22887.217112249004,0.3979626259563817,-0.0034193199549407,-1.6643251505646042,-15.89870146043299,6.469181846319997e-57,-0.14080590485256622,-24.867088756083007,1.6897385919901096e-136,0.02060524563712407,2.6063997590753893,0.009149960191957322,0.17377773900955273,18.373888294976094,2.1261951655747156e-75,0.09796847452560792,12.235237899055786,2.0151356429321387e-34,0.04002687526409934,3.880958430514916,0.00010404562553642361,0.031133577076449037,6.409223136113109,1.462629964319334e-10,0.02682439051348584,3.953457625705123,7.702991078125495e-05,0.03041695133197469,7.444195653199891,9.753685528472165e-14,-0.006178528443590996,-1.5578132544094094,0.1192775230852202,0.022048430007212884,4.922112270616631,8.561507141780214e-07,0.12188662472865273,12.91744222807145,3.5887394839791203e-38,-0.008989854733920555,-0.9905014550181713,0.32192907832531426
3,22678.74940908506,0.4603193474051671,-0.0039061918380234877,-1.5904996142074777,-16.63134337683009,4.1322451673683795e-62,-0.12377616626198232,-21.668429551828112,4.074156566709174e-104,0.018951134727108132,2.426227452763774,0.01525670502359636,0.17310567808898125,18.49740643204974,2.1665178956705036e-76,0.10731133887501099,13.01210633513787,1.0442354336907008e-38,0.08011454159294143,7.794179163953034,6.4828508960736175e-15,0.030534376131448493,6.295215181061442,3.069737211792106e-10,0.01972238021336109,2.8903457260141834,0.0038481835931612196,0.029220113995525817,7.310292617712236,2.665612536847216e-13,-0.0022235261214666752,-0.5541916701078398,0.5794476784808598,0.02196204156665882,4.9025188619870725,9.461552685534127e-07,0.08449190393881884,8.93012139457723,4.2554157531409756e-19,0.0012363760403296675,0.13807992108332018,0.8901772544126446
4,22472.30934435281,0.44512357257892177,-0.003494549027420076,-1.6522781179015844,-16.790296433522162,2.8740579639034105e-63,-0.12956914233853906,-22.46456324361706,9.22140373573612e-112,0.006646155793520014,0.8361142064617803,0.4030906569713347,0.16927187549408607,18.2416069125317,2.4126026959396505e-74,0.11781383992358352,14.180940065592692,1.2022515929997532e-45,0.05761801103390886,5.679690473028698,1.3493870798955114e-08,0.02369614997235084,4.891986572249045,9.982325655313356e-07,0.021748783165399938,3.2114356228049514,0.0013207355876591923,0.027821174375508757,6.954137560552119,3.547253531327716e-12,-0.0022374687231679815,-0.6057677207725818,0.5446690073135079,0.0242034941003553,5.519381830338821,3.401942712606417e-08,0.09960660472723645,10.77424599313156,4.554987585929786e-27,0.012345293405312874,1.3805536009748618,0.16741625808888383
5,22613.71559447455,0.427880489761359,-0.0031041869234422906,-1.5962799503289928,-15.975214761263578,1.901981908054227e-57,-0.12498202123401626,-21.772964493793232,4.186581499919295e-105,0.023075657320805687,2.9330575788300983,0.003356416391079651,0.19509754922642664,21.16276663396547,2.1050162917096963e-99,0.1014600357164922,12.836684697870105,1.0215629484487657e-37,0.06164489242384337,6.052466813766389,1.4264439145476522e-09,0.0365373174064027,7.594330008426058,3.0938900523778765e-14,0.014573078807829348,2.1652856899843296,0.030365813559385783,0.02932557450301786,7.296659040682286,2.9500109852069565e-13,-0.0043153414903547675,-0.9393467820560015,0.34755272684634664,0.013436818090922856,3.0144518846708013,0.002574440422923593,0.09414516101842571,10.155470663135208,3.132948245605025e-24,-0.017582173027980152,-1.9962277843011575,0.04590913448014442
6,22732.50756365769,0.4161434188186758,-0.002815842365996583,-1.6999601379314415,-16.74573108318908,6.083842867460681e-63,-0.13917160636644577,-24.56504121389095,2.987468579731157e-133,0.012984893436010586,1.6582534322491358,0.09726632401366339,0.17460839039352538,18.808678912642634,6.411571121327994e-79,0.08614687562267592,10.680133949475522,1.2608959106340175e-26,0.0716861720726022,6.837137531683651,8.079117295399133e-12,0.036277771768591704,7.552119854150304,4.2823011928071544e-14,0.004897178535151536,0.720824048122881,0.4710177775940857,0.03234895160259647,7.991882405380247,1.3289377172257987e-15,-0.003913036466526698,-1.1014532004432391,0.2706994621495784,0.02034940682902564,4.643150032106821,3.4313698753735004e-06,0.09372451603956106,9.627390629518809,6.126544380068742e-22,0.009676231792562773,1.0855771286566278,0.27766612311802474
7,23058.81840304347,0.41968143062504715,-0.003799619101854888,-1.637826413390169,-16.603984585234198,6.521436957241216e-62,-0.14742736087799427,-25.85467920400662,2.1554875433918796e-147,0.011517961143657218,1.4367631274159485,0.15078531080974422,0.1707612711326919,18.300219257895684,8.241654581152905e-75,0.08492713248521272,10.62498154107255,2.280572822204169e-26,0.08128885049439737,7.6996045881677535,1.3648791868178093e-14,0.02574999561325811,5.2646452738900305,1.4046029455730817e-07,0.019135855066965746,2.796397428731543,0.005167581109444472,0.025107399122226842,6.186913719445991,6.135352311631229e-10,-0.0012055335163515465,-0.2794501111587444,0.7798994189861108,0.024863444970690644,5.581488005845218,2.384695021052766e-08,0.08855286483736716,9.164067022948943,4.9977404649605796e-20,-7.413067100420223e-05,-0.008215920275806447,0.993444717807625
8,22703.366430351445,0.4555003519379826,-0.003050233098199546,-1.549757196138504,-16.548740508561615,1.6348717675420988e-61,-0.12337515203489932,-21.497973856663105,1.6263484912824167e-102,0.005701070205152536,0.7182664222287586,0.47259302963629624,0.19038567617764857,20.2559046521188,3.15108417691393e-91,0.1138224209573625,13.463545704005373,2.5631517510690037e-41,0.068804159388351,6.84114781485798,7.856114113653589e-12,0.034248985532799425,7.039524402304153,1.928971000392258e-12,0.020208783149611498,2.963380862035495,0.003042798245547968,0.028031954124001564,7.043285728127484,1.8775864648337046e-12,-0.007069519197844003,-1.8056438622587017,0.07097398665829444,0.02230225590746685,5.029060720275646,4.928883028490314e-07,0.08879274476091677,9.635352030671502,5.669732718542122e-22,-0.010465385229910362,-1.1567473715444054,0.2473755893811932
9,22245.44207817509,0.44150433729668825,-0.003410506185142322,-1.5896916674614643,-15.459544763731559,6.505667160984443e-54,-0.11826963046916784,-20.796311001727055,4.67405650093249e-96,0.015818217464294904,2.0517092801475765,0.04019792432687385,0.17381684325214053,18.61729918174512,2.326559498072538e-77,0.11555980211395722,13.877211237522657,8.706604498064608e-44,0.05230770453728245,5.1304914718676935,2.889866531267143e-07,0.03052136479846937,6.320244762546815,2.611493342421405e-10,0.030177896330879805,4.503440981749254,6.686194201698989e-06,0.02961702578296623,7.388763368222659,1.4820064116813124e-13,-0.0031125509524516873,-0.849893630699476,0.39538422703459575,0.019826941914247276,4.603330240168052,4.157881299698644e-06,0.10110904897209977,10.906740247096172,1.0702552071018122e-27,-0.014352313229824665,-1.6060287531319744,0.10826759251482802
